Date,Price_X,Price_Y,Price_Z,Price_Equipo1,Price_Equipo2
2010-03-22,80.54,635.0,2192.25,537.37,959.27
2010-03-23,80.7,635.0,2230.5,511.2,979.36
2010-03-24,79.62,635.0,2194.25,514.37,984.89
2010-03-25,79.61,635.0,2175.5,509.63,941.75
2010-03-26,79.29,645.0,2199.0,526.28,956.68
2010-03-29,81.17,645.0,2224.75,528.68,1010.28
2010-03-30,81.28,645.0,2267.25,524.95,978.41
2010-03-31,82.7,645.0,2287.5,543.04,1009.15
2010-04-01,84.01,645.0,2329.5,528.22,1024.36
2010-04-05,85.88,645.0,2327.25,526.17,1018.74
2010-04-06,86.15,645.0,2327.25,534.6,1028.32
2010-04-07,85.59,645.0,2323.5,521.63,1001.53
2010-04-08,84.81,645.0,2295.25,542.63,1011.54
2010-04-09,84.83,682.5,2357.25,548.6,1033.54
2010-04-12,84.77,682.5,2380.75,579.4,1059.52
2010-04-13,84.72,682.5,2368.75,572.14,1022.82
2010-04-14,86.15,682.5,2419.25,553.05,1067.15
2010-04-15,87.17,682.5,2423.5,546.72,1044.29
2010-04-16,85.99,695.0,2447.25,584.05,1061.79
2010-04-19,84.23,695.0,2338.75,579.96,1021.79
2010-04-20,84.8,695.0,2383.5,580.83,1034.37
2010-04-21,85.7,695.0,2326.25,582.47,1055.89
2010-04-22,85.67,695.0,2293.25,558.49,1011.47
2010-04-23,87.25,705.0,2265.25,576.51,1045.29
2010-04-26,86.83,705.0,2293.25,567.97,1057.36
2010-04-27,85.78,705.0,2262.0,593.82,1021.94
2010-04-28,86.16,705.0,2114.75,585.53,947.89
2010-04-29,86.9,705.0,2114.75,575.48,961.59
2010-04-30,87.44,705.0,2183.5,566.26,1009.7
2010-05-03,88.94,705.0,2163.5,575.19,977.97
2010-05-04,85.67,705.0,2163.5,575.04,960.32
2010-05-05,82.61,705.0,2094.5,588.52,963.98
2010-05-06,79.83,705.0,2094.5,584.75,979.65
2010-05-07,78.27,692.5,2094.5,582.89,972.05
2010-05-10,80.12,692.5,2104.0,569.07,940.18
2010-05-11,80.49,692.5,2027.5,557.09,943.17
2010-05-12,81.2,692.5,2100.25,577.54,941.92
2010-05-13,80.11,692.5,2116.25,578.94,946.67
2010-05-14,77.18,680.0,2080.5,561.49,967.12
2010-05-17,75.1,680.0,2080.5,568.11,931.0
2010-05-18,74.43,680.0,2005.25,558.68,906.83
2010-05-19,73.69,680.0,1968.5,559.5,880.21
2010-05-20,71.84,680.0,1946.75,555.94,919.54
2010-05-21,71.68,660.0,1990.75,526.89,923.41
2010-05-24,71.17,660.0,2008.5,529.48,920.2
2010-05-25,69.55,660.0,1980.25,526.67,916.83
2010-05-26,71.74,660.0,2010.25,546.79,894.92
2010-05-27,74.66,660.0,2003.25,536.88,910.35
2010-05-28,74.02,645.0,2036.5,531.08,910.31
2010-05-31,74.65,645.0,1952.5,543.91,869.01
2010-06-01,72.71,645.0,1952.5,522.56,889.33
2010-06-02,73.75,645.0,1953.75,527.9,913.32
2010-06-03,75.41,645.0,1950.75,539.23,865.82
2010-06-04,72.09,607.5,1915.25,492.28,854.12
2010-06-07,72.12,607.5,1828.25,487.72,821.29
2010-06-08,72.3,607.5,1850.25,494.15,830.1
2010-06-09,74.27,607.5,1910.75,490.67,885.35
2010-06-10,75.29,607.5,1906.0,513.98,861.28
2010-06-11,74.35,600.0,1931.75,504.02,866.94
2010-06-14,75.2,600.0,1945.25,499.0,887.14
2010-06-15,76.2,600.0,1964.75,506.28,862.07
2010-06-16,78.14,600.0,1967.25,504.66,881.12
2010-06-17,78.68,600.0,1950.25,486.41,872.63
2010-06-18,78.22,600.0,1930.5,507.32,874.63
2010-06-21,78.82,600.0,1968.25,496.93,908.8
2010-06-22,78.04,600.0,1900.75,504.75,873.49
2010-06-23,76.27,600.0,1921.5,507.02,860.62
2010-06-24,76.47,600.0,1908.25,489.89,878.51
2010-06-25,78.12,635.0,1945.5,511.37,868.7
2010-06-28,77.59,635.0,1995.0,514.97,877.1
2010-06-29,75.44,635.0,1962.25,520.8,875.1
2010-06-30,75.01,635.0,1923.75,532.98,869.51
2010-07-01,72.34,635.0,1927.75,533.78,878.92
2010-07-02,71.65,605.0,1932.5,483.59,875.72
2010-07-05,71.47,605.0,1911.0,498.62,883.74
2010-07-06,71.45,605.0,1945.5,495.82,874.5
2010-07-07,73.51,605.0,1954.25,490.39,877.65
2010-07-08,74.71,605.0,1976.5,487.56,861.51
2010-07-09,75.42,602.5,1970.25,492.24,858.09
2010-07-12,74.37,602.5,1966.5,510.08,883.83
2010-07-13,76.65,602.5,1947.5,492.05,872.3
2010-07-14,76.77,602.5,2003.25,497.91,912.37
2010-07-15,76.19,602.5,1990.75,503.29,871.7
2010-07-16,75.37,595.0,2008.25,487.06,867.42
2010-07-19,75.62,595.0,1946.75,505.03,869.79
2010-07-20,76.22,595.0,1930.25,504.87,853.5
2010-07-21,75.37,595.0,1975.0,483.76,857.96
2010-07-22,77.82,595.0,2006.25,491.48,905.06
2010-07-23,77.45,612.5,2008.25,499.45,878.44
2010-07-26,77.5,612.5,2020.5,498.97,909.37
2010-07-27,76.13,612.5,2042.5,491.19,898.42
2010-07-28,76.06,612.5,2058.75,508.53,897.83
2010-07-29,77.59,612.5,2082.5,505.6,917.53
2010-07-30,78.18,625.0,2126.5,501.76,960.29
2010-08-02,80.82,625.0,2184.0,509.31,957.04
2010-08-03,82.68,625.0,2199.5,529.19,983.64
2010-08-04,82.2,625.0,2200.75,508.37,947.54
2010-08-05,81.61,625.0,2200.75,505.32,984.98
2010-08-06,80.16,627.5,2216.5,517.7,959.34
2010-08-09,80.99,627.5,2200.75,533.3,980.07
2010-08-10,79.6,627.5,2144.5,509.9,954.28
2010-08-11,77.64,627.5,2150.5,522.87,976.39
2010-08-12,75.52,627.5,2131.25,525.22,938.37
2010-08-13,75.11,645.0,2142.5,522.66,929.37
2010-08-16,74.85,645.0,2120.5,538.24,919.47
2010-08-17,76.93,645.0,2134.5,527.17,970.82
2010-08-18,76.47,645.0,2145.5,535.51,957.07
2010-08-19,75.3,645.0,2093.5,535.31,953.42
2010-08-20,74.26,635.0,2093.5,523.97,919.37
2010-08-23,73.62,635.0,2058.0,509.87,913.63
2010-08-24,72.38,635.0,2038.25,532.99,889.41
2010-08-25,73.48,635.0,2015.5,517.08,933.14
2010-08-26,75.02,635.0,1998.25,513.17,911.85
2010-08-27,76.65,622.5,1996.25,499.19,921.82
2010-08-30,76.6,622.5,2044.5,516.12,901.67
2010-08-31,74.64,622.5,2044.5,518.39,919.99
2010-09-01,76.35,622.5,2058.75,498.38,929.04
2010-09-02,76.93,622.5,2104.5,513.76,924.41
2010-09-03,76.67,615.0,2128.25,499.01,959.61
2010-09-06,76.87,615.0,2128.25,511.79,965.26
2010-09-07,77.74,615.0,2109.75,497.63,955.73
2010-09-08,78.17,615.0,2120.25,513.45,951.26
2010-09-09,77.47,615.0,2082.25,504.05,912.56
2010-09-10,78.16,625.0,2083.25,529.14,916.63
2010-09-13,79.03,625.0,2107.5,504.59,963.23
2010-09-14,79.16,625.0,2101.0,510.91,907.58
2010-09-15,78.91,625.0,2117.25,503.82,952.58
2010-09-16,78.48,625.0,2131.5,528.84,956.69
2010-09-17,78.21,635.0,2155.5,535.5,963.28
2010-09-20,79.32,635.0,2173.5,516.26,990.91
2010-09-21,78.42,635.0,2166.5,528.71,949.14
2010-09-22,77.95,635.0,2166.5,533.56,950.6
2010-09-23,78.11,635.0,2233.25,525.36,957.31
2010-09-24,78.87,635.0,2271.5,524.71,991.71
2010-09-27,78.57,635.0,2281.25,515.6,983.96
2010-09-28,78.71,635.0,2224.5,510.96,970.2
2010-09-29,80.77,635.0,2293.25,536.65,1023.14
2010-09-30,82.31,635.0,2313.5,537.06,1036.67
2010-10-01,83.75,590.0,2344.5,492.65,987.11
2010-10-04,83.28,590.0,2331.5,483.94,993.93
2010-10-05,84.84,590.0,2334.5,484.54,1028.91
2010-10-06,85.06,590.0,2334.5,495.64,976.81
2010-10-07,83.43,590.0,2342.75,500.33,980.8
2010-10-08,84.03,597.5,2320.5,506.3,980.43
2010-10-11,83.72,597.5,2390.5,503.05,1029.76
2010-10-12,83.5,597.5,2385.25,498.92,1000.65
2010-10-13,84.64,597.5,2389.0,482.58,1052.46
2010-10-14,84.53,597.5,2401.75,484.86,1024.64
2010-10-15,82.45,590.0,2367.5,500.17,1013.41
2010-10-18,84.37,590.0,2348.25,492.0,992.22
2010-10-19,81.1,590.0,2356.25,473.84,1007.36
2010-10-20,83.6,590.0,2324.0,477.03,1008.91
2010-10-21,81.83,590.0,2347.5,493.16,1021.61
2010-10-22,82.96,600.0,2326.25,481.85,1018.35
2010-10-25,83.54,600.0,2361.5,486.6,1019.76
2010-10-26,83.66,600.0,2331.5,498.18,1029.44
2010-10-27,83.23,600.0,2321.5,502.36,1020.65
2010-10-28,83.59,600.0,2307.5,501.25,1012.41
2010-10-29,83.15,600.0,2301.0,488.41,968.19
2010-11-01,84.62,600.0,2368.75,503.25,987.68
2010-11-02,85.41,600.0,2385.5,489.25,1005.98
2010-11-03,86.38,600.0,2401.25,492.07,1039.31
2010-11-04,88.0,600.0,2440.75,504.96,1037.36
2010-11-05,88.11,615.0,2437.5,514.2,1040.74
2010-11-08,88.46,615.0,2413.5,520.37,1062.96
2010-11-09,88.33,615.0,2425.5,514.49,1067.7
2010-11-10,88.96,615.0,2430.25,511.88,1070.39
2010-11-11,88.81,615.0,2445.5,497.33,1038.05
2010-11-12,86.34,620.0,2433.75,509.19,1058.7
2010-11-15,86.7,620.0,2349.75,506.11,1004.86
2010-11-16,84.73,620.0,2329.25,505.07,992.55
2010-11-17,83.28,620.0,2224.5,527.21,957.46
2010-11-18,85.05,620.0,2262.5,509.72,979.81
2010-11-19,84.34,612.5,2259.5,518.79,981.31
2010-11-22,83.96,612.5,2265.25,510.78,1006.84
2010-11-23,83.25,612.5,2220.75,515.61,949.99
2010-11-24,85.84,612.5,2241.5,507.25,993.76
2010-11-25,86.1,612.5,2241.5,509.56,981.88
2010-11-26,85.58,615.0,2238.25,508.89,967.15
2010-11-29,87.34,615.0,2256.5,500.15,985.86
2010-11-30,85.92,615.0,2244.75,515.98,970.1
2010-12-01,88.87,615.0,2289.75,503.07,1003.63
2010-12-02,90.69,615.0,2325.75,495.58,1006.47
2010-12-03,91.42,615.0,2323.0,514.74,989.47
2010-12-06,91.45,615.0,2278.25,500.4,972.01
2010-12-07,91.39,615.0,2325.25,523.76,1013.38
2010-12-08,90.77,615.0,2295.75,524.05,1024.66
2010-12-09,90.99,615.0,2347.5,522.9,1008.3
2010-12-10,90.48,625.0,2315.5,514.06,1024.45
2010-12-13,91.19,625.0,2297.5,503.17,1014.13
2010-12-14,91.21,625.0,2331.5,531.56,1042.21
2010-12-15,92.2,625.0,2331.5,516.21,1035.8
2010-12-16,91.71,625.0,2295.5,532.86,1008.08
2010-12-17,91.67,625.0,2306.25,532.75,1017.13
2010-12-20,92.74,625.0,2327.25,529.53,1039.26
2010-12-21,93.2,625.0,2377.75,512.24,1025.76
2010-12-22,93.65,625.0,2443.75,515.15,1043.18
2010-12-23,94.25,625.0,2420.5,529.78,1015.86
2010-12-24,93.77,625.0,2401.5,513.06,1060.47
2010-12-27,93.85,625.0,2436.25,508.48,1070.69
2010-12-28,94.38,625.0,2436.25,520.64,1026.91
2010-12-29,94.14,625.0,2436.25,532.41,1056.65
2010-12-30,93.09,625.0,2449.75,524.72,1053.66
2010-12-31,94.75,625.0,2458.5,521.13,1035.18
2011-01-03,94.84,625.0,2471.5,506.42,1094.45
2011-01-04,93.53,625.0,2471.5,522.29,1045.14
2011-01-05,95.5,625.0,2445.0,534.36,1027.77
2011-01-06,94.52,625.0,2469.75,507.7,1069.14
2011-01-07,93.33,665.0,2492.0,551.27,1098.97
2011-01-10,95.7,665.0,2465.5,563.62,1045.23
2011-01-11,97.61,665.0,2488.5,559.49,1094.02
2011-01-12,98.12,665.0,2484.25,558.14,1084.55
2011-01-13,98.06,665.0,2479.25,558.31,1055.04
2011-01-14,98.68,675.0,2452.5,555.02,1054.26
2011-01-17,97.43,675.0,2438.5,552.56,1074.68
2011-01-18,97.8,675.0,2444.25,569.95,1059.25
2011-01-19,98.16,675.0,2444.25,570.04,1100.67
2011-01-20,96.58,675.0,2373.25,571.63,1068.32
2011-01-21,97.6,695.0,2389.5,589.79,1091.48
2011-01-24,96.61,695.0,2394.75,575.71,1046.8
2011-01-25,95.25,695.0,2359.5,575.1,1079.51
2011-01-26,97.91,695.0,2362.75,585.88,1047.55
2011-01-27,97.39,695.0,2390.5,580.66,1051.26
2011-01-28,99.42,705.0,2454.5,590.96,1057.0
2011-01-31,101.01,705.0,2454.5,594.57,1057.67
2011-02-01,101.74,705.0,2530.5,598.02,1125.23
2011-02-02,102.34,705.0,2522.25,578.79,1107.06
2011-02-03,101.76,705.0,2515.5,579.99,1089.25
2011-02-04,99.83,705.0,2523.25,569.74,1116.95
2011-02-07,99.25,705.0,2539.0,586.59,1097.89
2011-02-08,99.92,705.0,2519.5,567.72,1113.3
2011-02-09,101.82,705.0,2537.5,583.16,1105.36
2011-02-10,100.87,705.0,2503.25,585.67,1124.45
2011-02-11,101.43,765.0,2490.25,624.19,1140.42
2011-02-14,103.08,765.0,2484.5,636.06,1116.01
2011-02-15,101.64,765.0,2482.25,614.52,1106.3
2011-02-16,103.78,765.0,2476.25,615.19,1105.82
2011-02-17,102.59,765.0,2473.75,644.76,1134.21
2011-02-18,102.52,770.0,2508.5,631.16,1115.39
2011-02-21,105.74,770.0,2531.5,622.89,1115.92
2011-02-22,105.78,770.0,2477.0,638.01,1089.74
2011-02-23,111.25,770.0,2489.25,648.59,1121.25
2011-02-24,111.36,770.0,2490.75,627.39,1122.83
2011-02-25,112.14,765.0,2529.0,639.11,1158.6
2011-02-28,111.8,765.0,2531.25,618.58,1117.02
2011-03-01,115.42,765.0,2581.5,618.0,1145.73
2011-03-02,116.35,765.0,2554.75,636.47,1166.56
2011-03-03,114.79,765.0,2578.5,636.51,1175.15
2011-03-04,115.97,735.0,2587.5,616.23,1138.22
2011-03-07,115.04,735.0,2565.75,619.3,1135.8
2011-03-08,113.06,735.0,2534.75,628.05,1114.29
2011-03-09,115.94,735.0,2579.25,611.79,1173.07
2011-03-10,115.43,735.0,2546.25,604.59,1106.32
2011-03-11,113.84,685.0,2490.5,580.88,1124.98
2011-03-14,113.67,685.0,2499.5,562.89,1111.52
2011-03-15,108.52,685.0,2473.5,567.62,1091.07
2011-03-16,110.62,685.0,2467.5,555.7,1057.21
2011-03-17,114.9,685.0,2475.25,554.72,1090.12
2011-03-18,113.93,715.0,2507.5,611.3,1105.99
2011-03-21,114.96,715.0,2536.25,606.99,1099.26
2011-03-22,115.7,715.0,2548.25,602.14,1136.89
2011-03-23,115.55,715.0,2600.25,591.86,1175.93
2011-03-24,115.72,715.0,2595.75,583.48,1146.42
2011-03-25,115.59,717.5,2608.25,584.81,1161.89
2011-03-28,114.8,717.5,2584.0,588.01,1109.28
2011-03-29,115.16,717.5,2591.5,598.8,1135.75
2011-03-30,115.13,717.5,2595.0,604.71,1116.24
2011-03-31,117.36,717.5,2599.0,603.21,1152.37
2011-04-01,118.7,725.0,2589.25,595.77,1174.42
2011-04-04,121.06,725.0,2610.25,620.7,1163.29
2011-04-05,122.22,725.0,2592.5,613.07,1117.46
2011-04-06,122.3,725.0,2625.75,606.43,1147.59
2011-04-07,122.67,725.0,2659.75,608.59,1172.69
2011-04-08,126.65,710.0,2659.75,590.47,1158.7
2011-04-11,123.98,710.0,2653.25,583.82,1185.68
2011-04-12,120.92,710.0,2634.0,587.07,1176.78
2011-04-13,122.88,710.0,2634.0,601.74,1163.38
2011-04-14,122.36,710.0,2617.25,575.21,1141.14
2011-04-15,123.45,715.0,2637.75,582.94,1141.72
2011-04-18,121.61,715.0,2658.5,580.08,1137.49
2011-04-19,121.33,715.0,2660.25,579.84,1155.38
2011-04-20,123.85,715.0,2713.5,609.5,1177.95
2011-04-21,123.99,720.0,2731.25,608.14,1204.32
2011-04-25,123.66,720.0,2720.5,599.8,1199.33
2011-04-26,124.14,720.0,2720.5,586.33,1157.57
2011-04-27,125.13,720.0,2739.5,600.72,1187.37
2011-04-28,125.02,692.5,2771.75,578.08,1173.58
2011-04-29,125.89,692.5,2740.25,567.82,1161.79
2011-05-02,125.12,692.5,2740.25,576.73,1209.25
2011-05-03,122.45,692.5,2740.25,574.97,1152.5
2011-05-04,121.19,692.5,2753.25,582.26,1183.21
2011-05-05,110.8,692.5,2680.5,580.83,1138.15
2011-05-06,109.13,690.0,2609.25,558.17,1161.98
2011-05-09,115.9,690.0,2619.5,570.85,1145.71
2011-05-10,117.63,690.0,2649.5,579.87,1133.8
2011-05-11,112.57,690.0,2618.25,574.62,1140.44
2011-05-12,112.98,690.0,2600.5,586.89,1150.25
2011-05-13,113.83,695.0,2647.75,584.28,1183.86
2011-05-16,112.73,695.0,2576.5,566.85,1109.16
2011-05-17,109.99,695.0,2524.5,563.11,1135.55
2011-05-18,112.3,695.0,2510.5,583.4,1134.75
2011-05-19,111.42,695.0,2516.0,561.86,1135.14
2011-05-20,112.39,712.5,2494.75,595.53,1115.54
2011-05-23,110.1,712.5,2468.25,607.66,1105.49
2011-05-24,112.53,712.5,2499.5,595.19,1101.74
2011-05-25,114.93,712.5,2539.75,589.01,1139.39
2011-05-26,115.05,712.5,2539.75,598.11,1124.54
2011-05-27,115.03,712.5,2597.5,591.52,1153.83
2011-05-30,114.68,712.5,2648.5,594.56,1153.59
2011-05-31,116.73,712.5,2648.5,609.06,1175.34
2011-06-01,114.53,712.5,2652.75,588.85,1182.51
2011-06-02,115.54,712.5,2631.5,609.52,1128.72
2011-06-03,115.84,700.0,2609.25,597.35,1164.5
2011-06-06,114.48,700.0,2626.75,572.26,1149.85
2011-06-07,116.78,700.0,2664.25,568.28,1184.34
2011-06-08,117.85,700.0,2645.0,569.59,1149.53
2011-06-09,119.57,700.0,2625.25,567.03,1139.94
2011-06-10,118.78,700.0,2604.5,569.55,1169.51
2011-06-13,119.1,700.0,2559.75,590.23,1109.47
2011-06-14,120.16,700.0,2575.25,569.01,1155.18
2011-06-15,117.1,700.0,2578.25,577.08,1130.7
2011-06-16,114.02,700.0,2515.25,594.86,1110.7
2011-06-17,113.21,685.0,2518.5,554.32,1092.86
2011-06-20,111.69,685.0,2490.5,581.1,1100.53
2011-06-21,110.95,685.0,2519.5,562.73,1093.56
2011-06-22,114.21,685.0,2519.5,557.76,1075.66
2011-06-23,107.26,685.0,2476.0,576.17,1074.52
2011-06-24,105.12,685.0,2465.25,573.43,1052.98
2011-06-27,105.99,685.0,2466.25,582.09,1116.91
2011-06-28,108.78,685.0,2488.75,577.79,1124.75
2011-06-29,112.4,685.0,2491.25,580.87,1089.32
2011-06-30,112.48,685.0,2508.5,563.04,1117.09
2011-07-01,111.77,685.0,2485.75,559.32,1084.05
2011-07-04,111.39,685.0,2460.25,578.85,1096.69
2011-07-05,113.61,685.0,2485.25,581.23,1114.68
2011-07-06,113.62,685.0,2516.5,587.52,1134.66
2011-07-07,118.59,685.0,2528.75,568.72,1104.13
2011-07-08,118.33,685.0,2545.25,567.28,1135.17
2011-07-11,117.24,685.0,2451.5,580.93,1069.35
2011-07-12,117.75,685.0,2443.5,566.09,1113.92
2011-07-13,118.78,685.0,2450.25,586.53,1053.81
2011-07-14,118.32,685.0,2476.5,583.96,1100.06
2011-07-15,117.26,685.0,2449.5,569.02,1094.29
2011-07-18,116.05,685.0,2444.25,579.81,1093.97
2011-07-19,117.06,685.0,2481.75,580.14,1069.67
2011-07-20,118.15,685.0,2514.5,558.02,1134.98
2011-07-21,117.51,685.0,2473.5,585.31,1071.11
2011-07-22,118.67,692.5,2547.75,577.92,1127.89
2011-07-25,117.94,692.5,2572.5,588.9,1108.88
2011-07-26,118.28,692.5,2612.5,571.42,1127.89
2011-07-27,117.43,692.5,2622.25,591.19,1147.25
2011-07-28,117.36,692.5,2600.5,573.63,1131.14
2011-07-29,116.74,695.0,2581.0,562.34,1107.86
2011-08-01,116.81,695.0,2605.25,593.45,1116.53
2011-08-02,116.46,695.0,2540.5,565.09,1111.83
2011-08-03,113.23,695.0,2529.5,572.37,1129.75
2011-08-04,107.25,695.0,2472.5,593.04,1117.65
2011-08-05,109.37,702.5,2427.5,599.66,1052.85
2011-08-08,103.74,702.5,2404.75,585.32,1063.47
2011-08-09,102.57,702.5,2390.25,587.12,1039.56
2011-08-10,106.68,702.5,2408.5,581.53,1041.45
2011-08-11,108.02,702.5,2367.25,576.36,1069.53
2011-08-12,108.03,705.0,2378.5,579.59,1070.38
2011-08-15,109.91,705.0,2345.25,592.05,1032.09
2011-08-16,109.47,705.0,2338.25,594.77,1034.12
2011-08-17,110.6,705.0,2347.0,596.37,1024.07
2011-08-18,106.99,705.0,2371.0,595.57,1082.32
2011-08-19,108.62,705.0,2308.5,571.36,1070.35
2011-08-22,108.36,705.0,2324.75,585.48,1023.16
2011-08-23,109.31,705.0,2321.75,570.31,1028.51
2011-08-24,110.15,705.0,2321.75,587.77,1068.75
2011-08-25,110.62,705.0,2333.5,584.07,1076.57
2011-08-26,111.36,705.0,2328.75,599.91,1043.31
2011-08-29,111.88,705.0,2360.5,581.13,1030.57
2011-08-30,114.02,705.0,2360.5,573.32,1030.55
2011-08-31,114.85,705.0,2402.25,574.4,1078.8
2011-09-01,114.29,705.0,2401.0,596.07,1066.53
2011-09-02,112.33,705.0,2399.5,590.63,1041.95
2011-09-05,110.08,705.0,2363.25,571.99,1064.74
2011-09-06,112.89,705.0,2345.75,571.94,1023.63
2011-09-07,115.8,705.0,2355.0,594.24,1076.85
2011-09-08,114.55,705.0,2365.5,571.87,1049.35
2011-09-09,112.77,715.0,2342.5,606.04,1027.61
2011-09-12,112.25,715.0,2318.75,601.81,1054.23
2011-09-13,111.89,715.0,2354.25,579.45,1053.87
2011-09-14,112.4,715.0,2329.25,579.67,1082.13
2011-09-15,115.34,715.0,2338.5,612.44,1059.08
2011-09-16,112.22,715.0,2345.5,589.96,1043.31
2011-09-19,109.14,715.0,2309.5,589.22,1057.67
2011-09-20,110.54,715.0,2303.75,605.26,1028.8
2011-09-21,110.36,715.0,2266.25,610.01,1055.53
2011-09-22,105.49,715.0,2224.75,610.39,1007.45
2011-09-23,103.97,692.5,2169.75,583.53,991.7
2011-09-26,103.94,692.5,2195.25,570.52,970.34
2011-09-27,107.14,692.5,2193.5,561.05,993.29
2011-09-28,103.81,692.5,2205.25,584.32,1020.47
2011-09-29,103.95,692.5,2185.5,576.8,1012.21
2011-09-30,102.76,692.5,2206.5,571.94,984.04
2011-10-03,101.71,692.5,2120.0,588.35,955.44
2011-10-04,99.79,692.5,2132.5,560.57,993.49
2011-10-05,102.73,692.5,2131.75,574.29,1000.86
2011-10-06,105.73,692.5,2169.75,558.28,965.31
2011-10-07,105.88,692.5,2176.25,574.09,988.57
2011-10-10,108.95,692.5,2185.5,560.46,985.94
2011-10-11,110.73,692.5,2184.5,562.97,1018.06
2011-10-12,111.36,692.5,2202.25,563.05,977.0
2011-10-13,111.11,692.5,2177.75,581.38,976.56
2011-10-14,114.68,682.5,2170.5,577.34,1004.21
2011-10-17,110.16,682.5,2209.0,570.87,973.62
2011-10-18,111.15,682.5,2157.25,583.99,983.19
2011-10-19,108.39,682.5,2171.25,563.42,983.95
2011-10-20,109.76,682.5,2121.25,560.65,961.52
2011-10-21,109.56,615.0,2109.75,525.28,938.79
2011-10-24,111.45,615.0,2158.25,505.76,963.29
2011-10-25,110.92,615.0,2194.5,528.47,953.69
2011-10-26,108.91,615.0,2195.25,498.74,977.26
2011-10-27,112.08,615.0,2233.75,528.92,1005.03
2011-10-28,109.91,615.0,2221.25,499.89,997.38
2011-10-31,109.56,615.0,2186.5,525.97,950.2
2011-11-01,109.54,615.0,2091.5,514.76,918.93
2011-11-02,109.34,615.0,2103.25,529.07,929.42
2011-11-03,110.83,615.0,2123.25,501.02,941.78
2011-11-04,111.97,605.0,2130.0,508.03,943.78
2011-11-07,114.56,605.0,2117.5,521.19,955.88
2011-11-08,115.0,605.0,2092.5,507.7,912.56
2011-11-09,112.31,605.0,2108.5,510.39,915.64
2011-11-10,113.71,605.0,2111.75,512.69,937.37
2011-11-11,114.16,602.5,2115.25,503.46,955.14
2011-11-14,111.89,602.5,2143.5,508.24,935.11
2011-11-15,112.39,602.5,2117.25,507.03,952.06
2011-11-16,111.88,602.5,2097.25,516.52,923.7
2011-11-17,108.22,602.5,2084.0,489.91,953.15
